ean;quantity;command 
4262430480043;104;update 
5999100003958;2;update 
4250350505038;0;update 
4260641164431;21;update 
5056555202579;0;update 
5056555202647;0;update 
5056555203934;0;update 
5056555206591;5;update 
4262430480371;27;update 
728633104758;9;update 
505656990676;0;update 
5056569900621;5;update 
5056569901857;2;update 
7350069381385;0;update 
8720682620267;16;update 
87614110967;7;update 
5907368837543;14;update 
5907677724312;22;update 
5453001862170;4;update 
5901330022340;90;update 
605069401012;9;update 
5999076253746;35;update 
4260641163434;40;update 
5999076227426;559;update 
5903719243148;0;update 
5901330078194;5;update 
5907368802381;18;update 
5900718697682;0;update 
4260196299060;0;update 
5999076236237;5;update 
728633101078;8;update 
8901138110710;45;update 
728633103942;0;update 
5024293009019;0;update 
5024293020205;0;update 
5024293202281;0;update 
5907368835570;0;update 
5056555201114;0;update 
5999100002456;0;update 
4260641161607;26;update 
5999100016743;0;update 
4260641162208;0;update 
5999076239313;18;update 
5999100034044;6;update 
4260196299251;4;update 
4262430480050;0;update 
4251131103924;30;update 
5999076237890;46;update 
87614115573;27;update 
4262430481071;37;update 
5903719252027;17;update 
5903719252041;10;update 
5903719252065;17;update 
5999076234387;3;update 
5902610931581;0;update 
5999076227419;60;update 
745760034574;9;update 
5908261599699;0;update 
8436551613123;4;update 
5903719210027;68;update 
8720682620205;12;update 
4262430480388;8;update 
4262430481217;0;update 
5999076228508;0;update 
4260641165551;28;update 
4262410531444;13;update 
5453001850191;7;update 
4260426830247;0;update 
4260426830254;0;update 
4260426830261;0;update 
4260426830278;0;update 
5999100000346;3;update 
5999100001350;8;update 
728633103430;11;update 
8717472070586;2;update 
8717472070593;2;update 
5907368809014;20;update 
5999076240487;7;update 
5907582338338;18;update 
5999076228515;55;update 
5999076244751;10;update 
5999076244768;10;update 
5999076224425;5;update 
5999076224432;4;update 
5999076224449;4;update 
5999076224456;10;update 
8594014860542;6;update 
5901330055294;5;update 
4260641160167;11;update 
4260641165636;9;update 
5903719259170;31;update 
8594073174277;5;update 
8594073174284;3;update 
5999076253661;13;update 
5999076253678;13;update 
5999076253685;5;update 
8594073170446;4;update 
8594073170453;8;update 
8594073170460;3;update 
